cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
endo,-90,"(-0.035, 0)",0.7056869244497335,correct,"(-0.4, 0)",a,0,9,9,0,,,,,,,,,,,a,274.0743475999916,271.38445090001915,271.38445090001915,None,271.38445090001915,None,271.38445090001915,None,273.56423249992076,274.32269830000587,274.0743475999916,274.1722161999205,0.337514300015755,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7387684035985251,correct,"(-0.4, 0)",a,0,10,10,1,,,,,,,,,,,a,277.16440699994564,None,274.4428874999285,None,274.4428874999285,None,274.4428874999285,None,276.65488970000297,277.41052559996024,277.16440699994564,277.2636230000062,0.3501375999767333,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.29956714904652626,incorrect,"(0.4, 0)",l,0,11,11,36,,,,,,,,,,,None,279.8157257999992,None,277.5350227999734,284.5288564999355,277.5350227999734,284.5288564999355,277.5350227999734,284.5288564999355,279.31560640002135,280.0744363999693,279.8157257999992,279.9153178000124,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.3779252118559099,incorrect,"(-0.4, 0)",a,0,12,12,17,,,,,,,,,,,None,289.1767704000231,286.8212989999447,286.8212989999447,293.81851779995486,286.8212989999447,293.81851779995486,286.8212989999447,293.81851779995486,288.67298449994996,289.43124850001186,289.1767704000231,289.28026889998,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5922941594138551,correct,"(-0.4, 0)",a,0,13,13,4,,,,,,,,,,,a,298.75152499997057,296.17804309993517,296.17804309993517,None,296.17804309993517,None,296.17804309993517,None,298.24835589993745,298.9997029999504,298.75152499997057,298.8519293999998,0.3533817999996245,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.6591262849764731,correct,"(0.4, 0)",l,0,14,14,22,,,,,,,,,,,l,301.7769139999291,None,299.1335193000268,None,299.1335193000268,None,299.1335193000268,None,301.26672389998566,302.0185889999848,301.7769139999291,301.87444459996186,0.2884722000453621,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7866571383694275,correct,"(-0.4, 0)",a,0,15,15,2,,,,,,,,,,,a,304.8573605000274,None,302.08585559995845,None,302.08585559995845,None,302.08585559995845,None,304.35163769999053,305.1063380999258,304.8573605000274,304.9594844999956,0.3038488000165671,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9706793863527535,incorrect,"(-0.4, 0)",a,0,16,16,10,,,,,,,,,,,l,308.13656389992684,None,305.1877356999321,None,305.1877356999321,None,305.1877356999321,None,307.6363644999219,308.3875097000273,308.13656389992684,308.2324424999533,1.2452727999771014,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.39625884761736807,correct,"(0.4, 0)",l,0,17,17,23,,,,,,,,,,,l,311.781464700005,None,309.40689460001886,None,309.40689460001886,None,309.40689460001886,None,311.2859347999329,312.03739950002637,311.781464700005,311.87920680001844,0.36478589999023825,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4499901342346745,incorrect,"(-0.4, 0)",a,0,18,18,12,,,,,,,,,,,a,314.5890335999429,None,312.16437389992643,None,312.16437389992643,None,312.16437389992643,None,314.0905688999919,314.8370502999751,314.5890335999429,314.6904471999733,0.45983279997017235,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.23391027043498136,correct,"(-0.4, 0)",a,0,19,19,8,,,,,,,,,,,a,317.2760495999828,None,315.06701130000874,None,315.06701130000874,None,315.06701130000874,None,316.775443600025,317.5233298999956,317.2760495999828,317.3776963999262,0.2988158999942243,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.28340262260056537,correct,"(-0.4, 0)",a,0,20,20,3,,,,,,,,,,,a,319.8612400999991,None,317.60089769994374,None,317.60089769994374,None,317.60089769994374,None,319.3712272000266,320.12715139996726,319.8612400999991,319.96578979992773,0.36627819994464517,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
